Dates,Ensemble0,Ensemble1,Ensemble2,Ensemble3,Ensemble4,Ensemble5,Ensemble6,Ensemble7,Ensemble8,Ensemble9,Ensemble10
1/11/97,15.53564548,15.36874104,15.45484066,15.86118031,15.31399345,15.5249548,15.54209995,15.48349094,15.28264809,15.34979343,15.68539143
1/14/97,15.4578886,15.94134998,16.00961304,15.58218956,15.37990952,15.53869438,16.52198219,16.00859451,16.3984127,15.40277863,15.56222153
1/18/97,14.97665119,15.21752071,14.98726845,15.03453541,15.29498768,14.83808804,15.19907856,15.11433506,15.02291965,14.97346592,15.12757683
1/21/97,14.83527565,14.87638092,14.81990433,14.82918835,14.74446011,14.72645092,14.63306332,14.66352844,15.39803696,14.89172935,15.10275173
1/25/97,14.92426777,16.01833725,15.29556561,14.97174072,15.15523624,15.270298,14.91789627,14.64023209,15.72047615,15.43186188,14.71876907
1/28/97,14.50540638,14.67017651,14.4318428,14.99799156,15.63626194,15.48302364,15.27346897,14.68150711,14.75232887,14.85610008,14.41670513
2/1/97,14.24121571,14.29021931,14.24269295,14.31852531,14.29307842,14.25575829,14.26067448,14.20227718,14.17998409,14.29184914,14.28660297
2/4/97,14.24218273,14.27260494,14.08589172,14.04626656,14.17833805,15.0307188,14.21313953,14.01336002,14.16526127,14.29450893,14.22237015
2/8/97,13.78826332,13.72308254,13.80182076,13.89365387,13.93820095,13.70890427,13.91691685,13.72918797,13.95073318,14.01221275,13.81555557
2/11/97,13.55612183,13.58111954,13.65062523,13.51771832,13.60650444,13.67416477,13.80245495,13.65934086,13.59845734,13.51078415,14.55895329
2/15/97,14.21909046,13.5102005,15.28491497,13.83742523,16.7911644,15.20217419,16.12498093,13.94462204,13.67718983,14.56492901,13.79050159
2/18/97,15.27453613,17.45820045,17.07731628,16.55484772,18.71450233,14.403018,15.20940018,16.79024887,18.54120064,15.78203869,14.66744137
2/22/97,16.88606262,15.95009899,16.84345055,18.99332428,21.37080383,15.71472359,25.62768173,17.33964539,22.14208984,15.99216652,17.85922432
2/25/97,17.55523109,16.65943527,16.81672478,20.36841583,17.092556,16.12866974,15.99416447,18.74431992,17.0587368,16.51296997,18.26678085
3/1/97,22.15169716,20.00234604,22.40577698,23.10531044,20.54391479,19.5651207,33.84742355,21.43781471,25.93474388,16.84746933,20.50278854
3/4/97,25.58886147,19.64498901,20.27229881,18.01629829,19.92339325,21.64252281,18.65314293,22.53830528,17.16973495,19.48753357,18.47333527
3/8/97,15.85405159,16.6994915,16.15168571,16.13983154,16.66394424,15.88956261,17.84276772,15.99947166,16.46762085,16.24459457,15.81633472
3/11/97,16.7569828,17.0026989,15.69691181,16.79442215,15.72864342,17.93615913,17.49585533,24.1639595,15.58105946,16.04247665,16.38892365
3/15/97,14.85568523,15.12905788,15.12432861,14.93538094,14.90464973,15.04127598,14.93144608,14.95042706,15.0901947,15.46063042,14.78704453
3/18/97,14.39316463,14.46250916,14.82783794,14.39449883,14.65480804,15.85525227,14.86367702,14.10267162,14.44661903,15.10781193,14.39586926
3/22/97,13.69119453,13.41381264,13.62477207,13.47639656,13.94019604,13.71119022,13.67754078,13.69694901,13.90278244,14.1508255,13.24384594
3/25/97,13.46998024,13.23058319,13.6782217,13.70497894,13.91846752,13.26460361,13.57050228,13.73237896,13.67225647,14.56865597,14.81255245
3/29/97,13.08786869,13.06310654,13.25326252,13.15418339,13.19501209,12.982831,13.06776524,12.90800858,13.32425499,13.20450974,13.10470772
4/1/97,13.06995678,13.05245972,13.32141685,12.88324356,13.2230463,12.8972559,13.32486248,13.53582478,13.3100338,13.21955776,13.67602444
4/5/97,12.7993269,12.95198822,12.8902626,12.72794342,13.23051071,13.1347456,13.20358181,12.83243179,13.25676441,13.02257538,12.76891327
4/8/97,12.81675148,12.59688282,12.77189255,12.71220016,12.83459377,12.72888088,12.88748932,13.08612251,12.92134571,12.93010426,12.71260071
4/12/97,12.35197067,12.42372131,12.50122738,12.31457615,12.47125721,12.45958138,12.49993515,12.44866467,12.5644846,12.52173233,12.56659603
4/15/97,12.49021339,12.6023407,12.5423708,12.52871609,12.46498585,12.67225933,12.52439499,12.34599304,12.7658205,12.54436874,12.45580387
4/19/97,12.5459938,12.50979424,12.54060936,12.37573147,12.60167599,12.4637022,12.38431358,12.57903862,12.53716755,12.34308052,12.69200039
4/22/97,12.33625889,12.23628426,12.44940472,12.38152409,12.25419426,12.63010979,12.71555519,12.37469959,12.62225342,12.34844875,12.28019428
4/26/97,12.33943653,12.20867634,12.67622757,12.20034504,12.76391125,12.67435741,12.44134235,12.3597374,12.40842056,12.39270306,12.36501312
4/29/97,12.43810272,12.23896503,12.51465034,12.94638634,12.16669559,12.24387932,12.253438,12.66047859,12.40685558,12.72265816,12.38348484
5/3/97,12.44025707,12.71848297,12.49225998,12.56587887,13.01710606,12.58396626,12.42244339,13.10145664,12.61655712,12.25201893,12.61278248
5/6/97,12.71403408,12.58181381,12.5219698,12.45251656,12.98335266,12.63136482,12.65123367,12.63170242,12.92870522,12.70931625,12.65735435
5/10/97,13.26133251,13.15381432,12.67920113,13.05113029,13.17930031,13.10140705,12.85324097,12.99420261,12.72554398,13.06097031,12.43923092
5/13/97,14.08323002,14.12393284,13.46337414,13.07316589,15.70679092,13.17728424,13.69340038,12.99992275,13.29650688,13.40189648,13.78989506
5/17/97,13.35622215,14.07393837,13.92746925,15.02832413,13.29188252,14.57503796,13.68187428,14.62381554,14.02799702,14.10092545,13.75156307
5/20/97,15.31472588,14.22928905,14.35525131,20.44857597,15.59121895,13.6899128,18.83854103,14.74030018,14.75188255,15.96331024,14.82610989
5/24/97,25.7616787,33.45755005,18.70764351,24.42072868,15.16397381,25.11126328,20.94816399,39.00854111,15.40395927,21.31566811,15.11578751
5/27/97,17.23937607,16.28688812,19.74970818,19.7810936,18.96118736,16.62306213,16.66801643,25.0736599,17.83170319,16.59784317,23.72494316
5/31/97,15.56567574,23.17593765,16.07212067,15.43443966,15.92328358,15.88953304,15.36267471,15.70602989,15.71340656,15.62802601,15.94113541
6/3/97,14.25516224,14.06237698,14.23174763,14.03152943,14.0085268,14.24768162,14.23077774,14.12640381,13.96299458,14.29784107,14.10827065
6/7/97,12.81672955,12.68014145,13.03452301,12.9094677,12.78990555,16.37111855,13.22449112,12.59581375,12.916502,13.41134262,12.74960518
6/10/97,12.15182495,12.75389481,12.38427258,12.58752918,12.38089943,12.4047327,12.69288445,16.3472538,12.27342033,12.43470192,12.60112
6/14/97,15.0680542,12.15633106,11.73990059,11.96407127,36.12960815,11.63067722,12.23749352,11.83388805,12.02328205,11.72940922,11.77512074
6/17/97,12.27096558,11.80528355,12.85937786,12.43630219,12.12075424,12.14272499,11.99628258,11.68939209,13.79835701,12.40026283,12.2800436
6/21/97,12.88725567,12.52869987,12.79489708,12.40661144,14.23222923,12.29186535,12.81149673,16.18324471,13.47613144,12.51554394,18.19889259
6/24/97,14.5900774,12.13519096,12.3898735,15.32641697,12.27414227,12.93873978,12.31424618,12.21310616,12.41239738,14.28734398,14.57251072
6/28/97,21.33598518,14.47760201,13.12923336,18.80621147,12.89136028,14.36441231,15.24068069,20.85998154,14.44667435,25.95496559,13.98390961
7/1/97,14.89784908,13.35713291,14.95829391,17.23346901,25.00135803,16.78162003,18.5804863,19.93533516,15.5634613,14.16070652,15.31114864
7/5/97,16.55382156,68.56969452,34.52192307,32.87253952,26.14958191,16.68126488,62.16847229,29.7949295,18.14105797,36.90107346,25.44019127
7/8/97,24.83345985,16.61776161,33.39379883,31.25238991,14.47978497,25.33923912,16.5737114,13.93343258,20.61464119,28.77865028,15.93548393
7/12/97,13.16448593,13.60548782,14.42706108,12.98173428,13.11590576,12.63288116,12.83030224,15.27443218,13.43572426,14.1584177,12.7279768
7/15/97,12.40731525,13.22542381,20.40170288,13.69578838,12.6711359,12.38914204,12.4210434,31.04466248,13.01358509,14.49758625,20.00020981
7/19/97,13.24662781,12.23472881,11.29518986,11.1928215,11.77504063,11.52986431,11.53280258,10.95196915,11.89984989,11.31638622,18.85713387
7/22/97,11.02511215,11.11690426,11.72776794,10.74376488,11.15271282,10.9947567,10.73828888,11.24394512,10.72262287,11.10135078,11.01651573
7/26/97,10.92805004,10.44632339,10.16512489,10.47101021,11.13133049,11.61433792,10.29980659,11.60843086,10.23764324,10.49108791,10.66632366
7/29/97,10.10026264,9.715511322,10.02675819,9.87704277,9.93129921,9.955489159,9.878904343,9.889489174,10.07112312,9.660377502,9.874806404
8/2/97,9.675634384,9.833189011,9.765059471,9.805462837,9.980994225,10.07787514,9.775005341,9.809826851,10.04177284,10.34353447,9.841618538
8/5/97,9.508260727,9.348334312,9.339712143,9.758631706,9.258970261,9.530334473,10.31175327,9.388541222,9.344540596,9.599300385,9.304375649
8/9/97,26.88734055,11.53621674,14.37632942,9.9515028,10.32690239,9.649514198,14.10790062,10.23070908,10.20469379,10.26479626,11.22120476
8/12/97,9.911823273,9.028179169,9.320939064,9.369639397,13.44132996,21.5790596,10.75421143,9.518058777,10.67232609,10.24022293,9.640144348
8/16/97,11.04592514,10.64001369,17.04049492,11.80085087,9.930143356,11.6208868,14.01385403,10.83685684,11.7145977,10.90264702,10.8154459
8/19/97,10.56564426,10.24209595,10.4109478,10.69696903,10.41956425,10.51443386,10.63069153,10.27368164,10.31509113,10.58327293,10.70637035
8/23/97,9.782734871,9.669299126,9.419616699,9.677279472,10.03820992,9.699035645,10.00051022,9.653428078,9.520479202,9.818863869,9.649838448
8/26/97,9.618260384,9.5433321,9.401021957,9.697546005,9.515192032,9.680919647,9.234397888,9.275612831,9.667831421,10.44448948,9.157931328
8/30/97,9.750228882,9.702191353,17.55843544,9.909660339,10.50578499,29.26652527,9.640275955,12.01578712,11.89726925,10.34531212,9.375639915
9/2/97,10.63669109,10.05463982,11.23355389,9.926267624,11.46123314,11.15510464,11.30501556,10.62193394,10.64640522,12.29775143,13.33272648
9/6/97,13.14031792,15.34352303,12.0803318,13.03947544,13.81933498,16.97019196,12.56196308,14.48404694,28.90371323,14.76128483,15.66023254
9/9/97,12.7941618,12.26041126,14.04263687,12.21283817,13.01930714,13.47764397,16.47117615,13.21953297,23.66456985,11.98644447,12.85733795
9/13/97,11.45555019,11.51674366,11.54268074,11.46719456,11.61816025,11.51722717,11.53885365,11.64728165,11.44593525,11.46578598,11.44597149
9/16/97,10.54703617,10.51145649,10.68568897,10.8437767,10.52868176,10.57797241,10.38283634,10.67641258,10.5936861,10.88288212,10.47406864
